,keywords,count
0,phone,1492
1,this,686
2,love,572
3,with,539
4,great,519
5,very,392
6,easy,391
7,have,369
8,from,346
9,that,338
10,galaxy,338
11,samsung,296
12,features,288
13,like,278
14,camera,249
15,battery,230
16,better,223
17,much,208
18,week,205
19,bought,203
20,good,194
21,happy,187
22,than,180
23,it's,168
24,just,166
25,more,159
26,screen,158
27,only,156
28,about,152
29,really,149
30,i've,147
31,life,142
32,weeks,142
33,fast,139
34,upgraded,130
35,use,124
36,been,115
37,upgrade,112
38,glad,108
39,phones,101
40,apps,101
41,transition,101
42,pictures,100
43,would,97
44,still,97
45,everything,97
46,awesome,96
47,verizon,95
48,best,94
49,time,85
50,well,84
51,when,83
52,nice,82
53,service,80
54,also,79
55,iphone,78
56,faster,75
57,quality,72
58,far,71
59,they,69
60,over,69
61,some,68
62,last,67
63,amazing,67
64,other,67
65,used,67
66,what,66
67,even,64
68,will,64
69,don't,63
70,which,62
71,works,62
72,years,62
73,made,56
74,easier,55
75,using,55
76,ago,55
77,size,54
78,learning,54
79,recommend,54
80,ever,53
81,after,53
82,didn't,53
83,clear,53
84,android,52
85,because,51
86,little,50
87,excellent,50
88,need,49
89,getting,49
90,previous,47
91,transfer,47
92,storage,46
93,does,46
94,work,46
95,did,45
96,purchased,45
97,many,45
98,charging,45
99,always,45
100,takes,45
101,charge,44
102,there,44
103,speed,44
104,having,44
105,memory,44
106,pleased,43
107,similar,42
108,then,42
109,long,42
110,before,42
111,back,41
112,went,41
113,needed,41
114,longer,41
115,feature,40
116,overall,40
117,first,40
118,could,40
119,edge,39
120,find,39
121,user,39
122,them,38
123,days,38
124,case,38
125,things,38
126,same,38
127,note,37
128,make,37
129,switched,36
130,absolutely,35
131,take,35
132,device,35
133,couple,35
134,one,34
135,wish,34
136,right,33
137,since,33
138,switch,32
139,problems,32
140,can't,32
141,ease,32
142,enjoying,32
143,couldn't,32
144,store,32
145,want,32
146,know,32
147,thing,31
148,card,31
149,photos,31
150,were,31
151,smart,31
152,water,31
153,without,30
154,quick,30
155,super,30
156,data,30
157,pretty,30
158,perfect,29
159,design,29
160,seems,29
161,simple,29
162,another,29
163,learn,29
164,,29
165,wanted,29
166,loved,28
167,feel,28
168,never,28
169,found,27
170,owned,27
171,think,27
172,picture,27
173,look,27
174,wireless,27
175,haven't,27
176,wife,27
177,your,26
178,change,26
179,product,26
180,loving,26
181,customer,26
182,friendly,26
183,performance,26
184,issues,26
185,sound,26
186,able,25
187,less,25
188,took,25
189,calls,25
190,being,25
191,makes,25
192,month,25
193,lasts,25
194,into,25
195,enjoy,25
196,both,25
197,options,25
198,down,24
199,happier,24
200,hand,24
201,definitely,24
202,extremely,24
203,improved,23
204,most,23
205,different,23
206,voice,23
207,doesn't,23
208,lots,23
209,choice,23
210,display,23
211,too,23
212,improvement,22
213,droid,22
214,previously,22
215,now,22
216,fingerprint,22
217,problem,22
218,though,22
219,anything,21
220,beautiful,21
221,navigate,21
222,yet,21
223,it,21
224,especially,21
225,video,21
226,figure,20
227,contacts,20
228,huge,20
229,functions,20
230,looking,20
231,came,20
232,come,20
233,sleek,20
234,google,20
235,already,20
236,should,20
237,enough,19
238,easily,19
239,satisfied,19
240,light,19
241,wonderful,19
242,plan,19
243,needs,19
244,almost,18
245,highly,18
246,where,18
247,looks,18
248,liked,18
249,thought,18
250,cell,18
